10000;225
20000;505
30000;1432
40000;3150
50000;4339
60000;7558
70000;10620
80000;15868
90000;20696
100000;28400
10000;100
20000;500
30000;1224
40000;2360
50000;4556
60000;3170
70000;11304
80000;15601
90000;20424
100000;27850
10000;104
20000;447
30000;1236
40000;2914
50000;4266
60000;7226
70000;10744
80000;16141
90000;23871
100000;29583
10000;149
20000;528
30000;1239
40000;2800
50000;4587
60000;7715
70000;11841
80000;14607
90000;22753
100000;27466
10000;157
20000;540
30000;1476
40000;2607
50000;3813
60000;7542
70000;11650
80000;16872
90000;22087
100000;29396
10000;105
20000;487
30000;1325
40000;2842
50000;4442
60000;7328
70000;11375
80000;16632
90000;21833
100000;28737
10000;107
20000;470
30000;1412
40000;2708
50000;4478
60000;7707
70000;11577
80000;16715
90000;21891
100000;29171
10000;105
20000;521
30000;1458
40000;2652
50000;4501
60000;7530
70000;11332
80000;16094
90000;22383
100000;29983
10000;128
20000;477
30000;1353
40000;2831
50000;4566
60000;7563
70000;12224
80000;16041
90000;22272
100000;28921
10000;117
20000;521
30000;1441
40000;2785
50000;4667
60000;7625
70000;11528
80000;16233
90000;21698
100000;29045
10000;105
20000;533
30000;1336
40000;2854
50000;4536
60000;7562
70000;11385
80000;16034
90000;19762
100000;29178
10000;115
20000;454
30000;1279
40000;2776
50000;4678
60000;7813
70000;11775
80000;16228
90000;21902
100000;28775
10000;113
20000;507
30000;1414
40000;2595
50000;4603
60000;7550
70000;11137
80000;16197
90000;22061
100000;28985
10000;107
20000;551
30000;1482
40000;2479
50000;4472
60000;7729
70000;11189
80000;16237
90000;22037
100000;29368
10000;107
20000;530
30000;1242
40000;2800
50000;4455
60000;4122
70000;11244
80000;16311
90000;21955
100000;29181
10000;105
20000;470
30000;1348
40000;2970
50000;4426
60000;7332
70000;11406
80000;16107
90000;22246
100000;29324
10000;127
20000;534
30000;1437
40000;2533
50000;4528
60000;7975
70000;12319
80000;7308
90000;22269
100000;17062
10000;104
20000;521
30000;1430
40000;2500
50000;2215
60000;7383
70000;11658
80000;16376
90000;22049
100000;28866
10000;106
20000;507
30000;1414
40000;2719
50000;4551
60000;7508
70000;11548
80000;16464
90000;21987
100000;28963
10000;108
20000;498
30000;1260
40000;2850
50000;4401
60000;7563
70000;12027
80000;16374
90000;21688
100000;29053
10000;127
20000;447
30000;1306
40000;2826
50000;4539
60000;7837
70000;11392
80000;16452
90000;22096
100000;29058
10000;111
20000;513
30000;1420
40000;2472
50000;4525
60000;7436
70000;11244
80000;15985
90000;21956
100000;28721
10000;134
20000;462
30000;1332
40000;2756
50000;4453
60000;7450
70000;4656
80000;15986
90000;21996
100000;30563
10000;112
20000;576
30000;1302
40000;2727
50000;4516
60000;7350
70000;11114
80000;16101
90000;22076
100000;29284
10000;225
20000;524
30000;1383
40000;2793
50000;4570
60000;7834
70000;11407
80000;16142
90000;19974
100000;29245
10000;126
20000;528
30000;1451
40000;2464
50000;4507
60000;7658
70000;12167
80000;16396
90000;21763
100000;28720
10000;109
20000;500
30000;1312
40000;2598
50000;4550
60000;7512
70000;11165
80000;16126
90000;23626
100000;28792
10000;130
20000;529
30000;1401
40000;2443
50000;4566
60000;7437
70000;11033
80000;16120
90000;21890
100000;29148
10000;126
20000;447
30000;1228
40000;2910
50000;7111
60000;8255
70000;12909
80000;18272
90000;23836
100000;32215
10000;150
20000;590
30000;1452
40000;3075
50000;5390
60000;8345
70000;12765
80000;17725
90000;24460
100000;30732
10000;145
20000;652
30000;1580
40000;3365
50000;5570
60000;8600
70000;13310
80000;8515
90000;23505
100000;19645
10000;120
20000;632
30000;1470
40000;3080
50000;2904
60000;8215
70000;12570
80000;17551
90000;23507
100000;31039
10000;120
20000;590
30000;1605
40000;3185
50000;5680
60000;8515
70000;12765
80000;18295
90000;24430
100000;31135
10000;150
20000;595
30000;1590
40000;3110
50000;5547
60000;8896
70000;13440
80000;17805
90000;23719
100000;31000
10000;175
20000;710
30000;1570
40000;3068
50000;5590
60000;8285
70000;12660
80000;17465
90000;23539
100000;31325
10000;214
20000;605
30000;1558
40000;3027
50000;5291
60000;8642
70000;12395
80000;17150
90000;24007
100000;6308403
10000;202
20000;726
30000;1915
40000;4276
50000;5992
60000;9981
70000;4740
80000;27684
90000;35004
100000;38527
10000;156
20000;469
30000;1328
40000;2547
50000;4593
60000;8546
70000;12921
80000;16911
90000;20660
100000;34343
10000;109
20000;816
30000;2198
40000;5137
50000;10420
60000;14873
70000;18387
80000;33869
90000;26102
100000;47595
10000;131
20000;524
30000;1677
40000;3205
50000;5211
60000;8564
70000;15464
80000;31900
90000;41898
100000;71117
10000;268
20000;1154
30000;2993
40000;9464
50000;19952
60000;24229
70000;18336
80000;24177
90000;33389
100000;59238
10000;151
20000;782
30000;2344
40000;4493
50000;8499
60000;26636
70000;25003
80000;43104
90000;44294
100000;55754
10000;130
20000;450
30000;1250
40000;2530
50000;4930
60000;5011
70000;15127
80000;21034
90000;21208
100000;28833
10000;104
20000;521
30000;1151
40000;2583
50000;4843
60000;8491
70000;23848
80000;24973
90000;30839
100000;57992
10000;136
20000;614
30000;1580
40000;3799
50000;7204
60000;14458
70000;29373
80000;17152
90000;75991
100000;38080
10000;113
20000;546
30000;1779
40000;2857
50000;2410
60000;7432
70000;17634
80000;32962
90000;29627
100000;37020
10000;115
20000;471
30000;1262
40000;2881
50000;5287
60000;9818
70000;13317
80000;20641
90000;25753
100000;65281
10000;262
20000;1366
30000;2447
40000;5454
50000;8423
60000;11034
70000;13261
80000;19850
90000;22673
100000;36272
10000;130
20000;467
30000;1529
40000;3052
50000;6019
60000;19211
70000;21111
80000;19782
90000;35605
100000;43663
10000;111
20000;467
30000;1127
40000;2621
50000;7037
60000;20444
70000;15984
80000;23709
90000;40776
100000;45999
